employee id,title,first name,last name,preferred name,birthdate ,maritial status,marriage date ,spouse name,passport ,gender,ethnicity,religion,nationality,job title,department,manager,location,division,employee type,exempt,cost center,business area,building name,building number,street name,reference,city,state,pin,country,emergency name,emergency relation,emergency number,emergency mail,username,password,reportingManager,lat,long
1236,Mr.,Ravikiran,Papthimar,ramesh,1983-07-03,married,2010-10-30,raksha p,f686868,male,kannadika,hindu,indian,manager,coding,na,bangalore,technical,permanant,no,bangalore,south india,mahalxmi enclave,B 906,cunningham road,near paradise mall,bangalore,karnataka,567023,india,ramesh p,wife,9343434343,raksha.p@gmail.com,Manager.2@gmail.com,dummy123,yes,12.932626,77.516785
1240,Mr ,Shridhar ,Joshi,krishna,1980-28-01,married,2005-17-08,megha murthy,z234122,male,tamilian,hindu,indian,solution architect,coding,1241,bangalore,technical,permanant,yes,bangalore,south india,oakwood apartment,F 809,cooks town,childrens park,bangalore,karnataka,568934,india,megha murthy,wife,7988839321,megha.murthy@gmail.com,user.2@gmail.com,dummy123,no,12.955044,77.702522
1241,Mr.,Rahul, Jeevanandam,anand,1983-10-24,married,2014-10-21,Ankitha ,w125171,male,gujarathi,hindu,indian,project  architect,marketing,1236,bangalore,technical,permanent,yes,bangalore,south india,green park,A 610,embassy road,near subhash park,bangalore,karnataka,783020,india,ankitha t ,wife,9445630274,ankitha.thakkar@gmail.com,manager.1@gmail.com,dummy123,yes,12.90686,77.646561
1242,Mr.,Sarathi ,Dutta,rakesh,1990-01-10,unmarried,na,na,x128391,male,tamilian,hindu,indian,marketing manager,marketing,1236,bangalore,technical,permanent,yes,bangalore,south india,purva apartment,B 101,btm layout,near paradise mall,bangalore,karnataka,567292,india,shashidhar,brother,8972979302,shashidhar.k@gmail.com,user.1@gmail.com,dummy123,no,12.972107,77.752991
1250,,Shashank ,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.066603,77.442799
1251,,Ratan,DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.049713,77.50906
1252,,Athul ,Sai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.028307,77.480392
1253,,Anagha,KA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.006565,77.542534
1254,,Pavan,Gopal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.958055,77.512493
1255,,Deeksha,Shetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.933965,77.482796
1256,,Mallangouda,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.914556,77.536354
1257,,Harshitha,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.891465,77.544422
1258,,Mohammed,Shaiban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.915728,77.61137
1259,,Sharique,Kamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.938314,77.650509
1260,,Mariyam,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.957052,77.670593
1261,,Shilpa,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.924595,77.776337
1262,,Dikshitha,KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.890629,77.749729
1263,,Sindhu,BV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.873392,77.674713
1264,,Prem,Anand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.926938,77.549057
1265,,Aditya,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.791714,77.604675
1266,,Jayanthi,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.804436,77.717285
1267,,Vikram,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.967089,77.649994
1268,,Spoorthi,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.956383,77.752991
1269,,Aanchal,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.86469,77.689133
1270,,Monisha,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.922253,77.860107
1271,,Sujith,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.805775,77.711105
1272,,Janani,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.699962,77.632141
